"","year","month","day","retMedioSalida","numVuelosRetrasados"
"1",2013,1,1,11.5489260143198,404
"2",2013,1,2,13.8588235294118,415
"3",2013,1,3,10.9878318584071,369
"4",2013,1,4,8.95159515951595,174
"5",2013,1,5,5.73221757322176,168
"6",2013,1,6,7.14801444043321,315
"7",2013,1,7,5.41720430107527,182
"8",2013,1,8,2.55307262569832,240
"9",2013,1,9,2.27647714604236,337
"10",2013,1,10,2.84499461786868,199
"11",2013,1,11,2.81719260065288,221
"12",2013,1,12,1.59649122807018,74
"13",2013,1,13,19.8731527093596,256
"14",2013,1,14,2.792656587473,443
"15",2013,1,15,0.12372304199773,431
"16",2013,1,16,24.612865497076,574
"17",2013,1,17,7.64814814814815,397
"18",2013,1,18,6.76586433260394,278
"19",2013,1,19,3.47548291233284,66
"20",2013,1,20,6.78388746803069,276
"21",2013,1,21,7.83185840707965,359
"22",2013,1,22,12.4994350282486,403
"23",2013,1,23,10.6103603603604,322
"24",2013,1,24,19.4654226125137,312
"25",2013,1,25,21.8985343855693,446
"26",2013,1,26,7.21311475409836,175
"27",2013,1,27,8.37794299876084,159
"28",2013,1,28,15.1385331781141,254
"29",2013,1,29,2.49714937286203,178
"30",2013,1,30,28.6234413965087,292
"31",2013,1,31,28.6583629893238,466
"32",2013,2,1,10.8529088913282,298
"33",2013,2,2,5.42205882352941,116
"34",2013,2,3,7.0188679245283,196
"35",2013,2,4,10.9240780911063,318
"36",2013,2,5,5.32272727272727,442
"37",2013,2,6,5.62150055991041,250
"38",2013,2,7,6.49676724137931,303
"39",2013,2,8,14.8558951965065,304
"40",2013,2,9,18.5257731958763,58
"41",2013,2,10,15.1755915317559,205
"42",2013,2,11,39.0735981308411,323
"43",2013,2,12,4.6674182638106,245
"44",2013,2,13,3.66187845303867,352
"45",2013,2,14,5.61974789915966,384
"46",2013,2,15,5.93670886075949,343
"47",2013,2,16,7.00814111261872,257
"48",2013,2,17,10.34375,160
"49",2013,2,18,8.52592592592593,117
"50",2013,2,19,17.3782327586207,311
"51",2013,2,20,9.46367521367521,252
"52",2013,2,21,10.6059637912673,359
"53",2013,2,22,12.0787234042553,441
"54",2013,2,23,11.6108108108108,387
"55",2013,2,24,6.80482204362801,260
"56",2013,2,25,6.19936708860759,326
"57",2013,2,26,7.80374862183021,341
"58",2013,2,27,37.7632743362832,322
"59",2013,2,28,5.54926624737945,152
"60",2013,3,1,11.0158898305085,249
"61",2013,3,2,8.02652519893899,212
"62",2013,3,3,6.06593406593407,180
"63",2013,3,4,4.75391032325339,241
"64",2013,3,5,5.01816239316239,186
"65",2013,3,6,21.0126262626263,112
"66",2013,3,7,20.3707482993197,309
"67",2013,3,8,83.5369211514393,334
"68",2013,3,9,11.276455026455,41
"69",2013,3,10,10.7331118493909,150
"70",2013,3,11,6.91197543500512,219
"71",2013,3,12,26.3068432671082,352
"72",2013,3,13,6.4648033126294,235
"73",2013,3,14,12.0030581039755,253
"74",2013,3,15,12.4356333676622,180
"75",2013,3,16,10.1660130718954,346
"76",2013,3,17,7.93429844097996,373
"77",2013,3,18,30.1179596174283,587
"78",2013,3,19,23.6081808396125,481
"79",2013,3,20,8.44409613375131,263
"80",2013,3,21,10.6803699897225,274
"81",2013,3,22,10.6454265159301,225
"82",2013,3,23,14.2212041884817,326
"83",2013,3,24,15.0391937290034,322
"84",2013,3,25,22.1625560538117,209
"85",2013,3,26,2.17476732161324,192
"86",2013,3,27,2.78666666666667,200
"87",2013,3,28,6.23926380368098,111
